"Species","Limb_width","Limb_length","Observer","volume"
"Pinus banksiana",0.65975795686245,1.39685829542577,"Mabel",0.477541925149303
"Lythrum salicaria",2.37910155393183,2.24743210524321,"Mia",9.99084964660113
"Pinus contorta",2.3478361191228,3.85617501381785,"Maria Jose",16.6948367508196
"Pinus contorta",3.58691694028676,2.24086286500096,"Mabel",22.6437213193185
"Allaria petiolata",0.982434368692338,1.96688820235431,"Maria Jose",1.49099659239074
"Pinus contorta",2.18279713392258,1.69065411109477,"Maria Jose",6.326614844231
"Amaranthus palmeria",3.32696018833667,3.76832010224462,"Mia",32.7591689920516
"Lythrum salicaria",0.989236922934651,2.51240415498614,"Mabel",1.9309899795276
"Pinus contorta",3.39589339960366,0.639628353528678,"Mabel",5.79329556433491
"Pinus contorta",0.909609639085829,2.92608870379627,"Mabel",1.90146123854157
"Allaria petiolata",0.948199862614274,1.05373952444643,"Mia",0.744085647617034
"Allaria petiolata",0.0597087582573295,3.27897874079645,"Maria Jose",0.00918130809399629
"Pinus banksiana",1.78645289875567,0.879382079467177,"Mia",2.20419814615897
"Allaria petiolata",3.60187678691,0.432002894580364,"Mabel",4.40183990177795
"Pinus banksiana",0.188283955678344,3.14756558928639,"Maria Jose",0.0876377659096754
"Allaria petiolata",0.287443542852998,2.8770403387025,"Mabel",0.186698550710866
"Lythrum salicaria",3.07409474160522,3.73868420813233,"Mabel",27.7487331842305
"Lythrum salicaria",0.813967027701437,1.54049486294389,"Mabel",0.801611172092033
"Amaranthus palmeria",3.83662274014205,3.71642075292766,"Mabel",42.9648154917935
"Pinus contorta",3.2810499696061,0.764865073375404,"Maria Jose",6.46696336191249
"Pinus banksiana",2.6762622371316,3.39013736043125,"Mabel",19.0706066606073
"Pinus contorta",3.60983690153807,0.228574147447944,"Maria Jose",2.33933355517387
"Amaranthus palmeria",2.00472970493138,2.97377365082502,"Mabel",9.38662442897216
"Pinus banksiana",3.310227653943,2.95794137008488,"Maria Jose",25.4562934006847
"Pinus banksiana",1.42644881363958,3.62012719921768,"Mia",5.78530281970741
"Lythrum salicaria",0.0391383683308959,3.4284597998485,"Mabel",0.00412471907439399
"Amaranthus palmeria",1.3154743630439,0.983192132785916,"Mia",1.33626641571409
"Allaria petiolata",1.20146755967289,2.21678037662059,"Mia",2.513255536146
"Pinus contorta",3.63761303573847,0.0442338893190026,"Mia",0.459703704348456
"Lythrum salicaria",0.629717666655779,0.824434317648411,"Mabel",0.256766107735517
"Pinus contorta",1.74662578105927,0.672645026817918,"Mia",1.61166787573623
"Allaria petiolata",2.07285912893713,0.725818773731589,"Maria Jose",2.44938839428147
"Allaria petiolata",1.14413260854781,2.57524862699211,"Mabel",2.64765730712357
"Amaranthus palmeria",2.85040271747857,1.2548323655501,"Mabel",8.00733576767093
"Pinus banksiana",3.63861360773444,1.19519918877631,"Maria Jose",12.4280230422954
"Allaria petiolata",1.59321451559663,3.71896605379879,"Mabel",7.41413696477541
"Pinus contorta",3.67254777532071,2.72504407912493,"Mabel",28.8667785966794
"Pinus banksiana",0.242050276137888,1.12102366052568,"Maria Jose",0.0515840961415565
"Pinus banksiana",2.51037474814802,2.57190203480422,"Maria Jose",12.7297952624949
"Amaranthus palmeria",1.85410026740283,0.964273627847433,"Maria Jose",2.60349413552738
"Amaranthus palmeria",3.94487588573247,0.904443960636854,"Mia",11.0544778124503
"Amaranthus palmeria",0.890195676125586,2.64164131321013,"Maria Jose",1.64412445947071
"Amaranthus palmeria",1.77236764505506,0.349843323230743,"Maria Jose",0.86311983637971
